3, -4, 9, 5, -1, -1, -1, 5
-2, -34, 0, 0, 0, -1, -3, -1
8, -7, -6, -1, -1, 0, -5, 0
-3, -35, -9, -3, -1, 1, -2, -10
-4, -19, 1, 2, -1, -1, 0, 4
1, 5, 14, 0, 0, -2, 0, -6
-1, 9, 3, -1, 0, 0, 1, -3
-2, 3, -12, -3, -2, -2, 1, 17
4, 2, 5, -3, -2, -1, -1, -3
-7, -19, 10, 4, 1, 0, 3, 9
0, 4, -3, -1, 0, -3, 2, 5
-2, 8, 4, -1, -2, -1, -5, 4
5, 1, -3, -4, 1, -1, -2, 5
-2, -12, 5, -2, 1, -1, 2, 0
2, 4, 8, 0, -1, 1, -2, 18
-1, -8, -4, 1, 2, -1, 3, 5
-1, 3, -5, -1, 0, 0, 0, -4
-5, -11, -3, 0, 0, -4, -33, -72
-2, -8, -3, -14, 1, -1, -4, 23
-3, 12, 2, 5, 0, 1, -3, -26
-2, -8, -5, -2, 0, 0, 0, 0
2, 7, 2, 1, -1, -1, 3, 14
-8, -14, -2, -1, -1, -1, 3, -9
3, 21, 6, -2, -2, 0, 2, -8
-2, -19, -17, -3, -4, 1, 4, -22
5, 21, 8, -5, 1, -1, -8, -4
-1, 6, 4, -3, -2, -1, 2, 9
0, 0, -2, -1, 0, 0, 0, 3
2, 9, -1, 0, -2, -1, -5, -9
2, -5, 6, 1, -3, -2, 2, 0
3, -22, 3, 5, -2, 0, -6, 28
-8, -51, -15, -4, -2, -3, -5, -9
0, -2, 1, -3, 0, -1, 3, -10
3, -4, -11, 2, -2, -1, 8, 8
1, 1, -6, 0, 1, 1, 2, 19
2, 15, 1, 0, -3, -1, 0, 22
3, 11, 6, 2, -1, 0, 7, -3
-1, 30, 10, 3, 1, 0, 2, -3
-4, -10, 1, 4, 0, -2, 4, 4
-2, -4, -12, 2, 0, -1, -11, -13
-1, -5, 4, -2, 0, -1, 6, -13
-2, 22, 3, 0, 0, -2, 4, 6
4, 0, -10, 0, -3, 0, -1, 21
0, 17, 5, 2, 2, -1, -8, -14
0, -4, 5, 3, 0, 2, 1, -4
-3, 5, -8, 0, 0, 1, -2, 7
2, 12, 9, 2, -1, 0, -3, -4
4, 19, 3, 2, 1, -3, 2, 7
-4, 0, -3, -4, 0, 1, 3, -5
2, 0, 3, 4, 0, 0, 3, 8
-2, 2, 5, -3, 1, 0, 4, -8
0, 12, 2, 2, 1, 4, 0, -13
-1, 13, 12, 3, -2, -2, -9, -10
1, -10, -2, 4, 1, -1, -1, 11
-1, -2, -2, 0, -2, 0, 0, -3
-9, -12, 3, 7, 1, 1, 0, 3
4, 9, -1, -10, 0, 1, 1, 8
4, -1, 3, 1, -2, 2, -3, 18
-1, -8, -10, -1, -2, -1, 0, 6
0, 0, 5, 4, -2, -2, -2, -7
5, 2, 2, 0, -1, -3, -1, -3
-4, -8, -3, 1, 2, 1, -3, 0
-4, 7, -2, 0, 1, 2, 7, -11
1, 3, -3, -1, -1, -1, 3, 9
2, 2, -2, 2, 0, 1, 0, -1
-1, -11, -22, 1, 1, 0, -3, 5
1, -6, 9, -4, 1, 0, 1, 2
-26, -11, -7, 0, 4, -1, 1, -2
3, 5, -10, 8, 0, 0, -1, 1
-14, -25, -66, -15, -6, 3, -3, -3
-16, -13, 22, 14, 6, -1, 0, -5
8, 10, 20, 2, 1, 0, -2, -8
1, -5, 0, -5, -10, -3, -1, -7
0, -14, -11, -1, 0, -1, -2, -3
-3, -29, -43, 0, 2, 2, -1, 2
-4, 7, -1, -13, -4, 0, 0, -2
-5, 2, -2, -4, -3, 0, 0, -13
3, 14, 11, 9, 2, -1, -1, -1
-5, -20, 2, 0, -4, -2, -1, -10
0, -2, -21, -2, -2, -3, -1, 5
1, -2, -9, 0, 1, 0, -1, -2
-4, 4, 2, 4, 2, 2, 0, 3
-1, -12, -13, -6, -3, 0, -1, -2
-3, -26, -12, -3, -1, -2, -3, -17
-2, -10, -4, -4, -2, -1, 1, -2
-1, 14, 5, 6, 1, 1, -1, 8
1, 13, 9, -3, -2, -1, -2, 4
-4, -73, -10, -1, -4, -1, -2, 0
-3, 4, 7, 3, -1, 1, -1, -4
-5, -49, 3, -3, 0, 0, 1, -1
-1, -6, -25, -9, -3, -1, 0, -5
0, -24, -13, 1, 1, -1, -2, -1
3, -5, -1, 3, 2, -1, -2, 2
-2, -14, 7, 10, 4, 2, 0, 1
-2, -29, -39, -9, 1, -2, 0, -14
-4, -43, -52, 3, -1, -2, -2, -3
6, 6, 20, 3, 2, 0, -3, -1
-5, -1, 8, 14, 13, 0, -1, 4
-13, -45, 10, 6, 1, -1, 0, -4
3, 11, 51, 2, 3, -1, 0, -3
5, 18, 45, 20, 0, 2, 2, 1
-4, -10, 5, 2, 3, -1, 3, 13
-15, -28, 0, 33, 11, -4, -6, -13
2, 19, 3, -9, -8, -1, 1, 12
-11, -37, -32, -3, -4, -2, 1, -16
0, -4, 8, 4, 6, 0, 0, 22
-6, -4, -4, -3, -4, -5, 3, -12
-9, -52, -10, 1, 1, 0, -2, -10
-1, 0, 14, 15, 14, 0, 1, -1
0, -1, 3, -29, 0, 1, -1, -14
-12, -44, -21, 4, 2, -4, -1, -12
5, -15, -10, -17, -4, -2, 1, -5
6, 10, 14, 10, 3, 2, -1, 14
-3, -3, -1, 5, 2, 0, -2, -5
-28, -68, -18, -11, -10, -6, -2, -9
21, 51, 13, -12, -1, 0, 5, 30
